   (306) Unitas                          1891 03 01  Rome                     Millosevich, E.
   (307) Nike                            1891 03 05  Nice                     Charlois, A.
   (308) Polyxo                          1891 03 31  Marseilles               Borrelly, A.
   (309) Fraternitas                     1891 04 06  Vienna                   Palisa, J.
   (310) Margarita                       1891 05 16  Nice                     Charlois, A.
   (311) Claudia                         1891 06 11  Nice                     Charlois, A.
   (312) Pierretta                       1891 08 28  Nice                     Charlois, A.
   (313) Chaldaea                        1891 08 30  Vienna                   Palisa, J.
   (314) Rosalia                         1891 09 01  Nice                     Charlois, A.
   (315) Constantia                      1891 09 04  Vienna                   Palisa, J.
   (316) Goberta                         1891 09 08  Nice                     Charlois, A.
   (317) Roxane                          1891 09 11  Nice                     Charlois, A.
   (318) Magdalena                       1891 09 24  Nice                     Charlois, A.
   (319) Leona                           1891 10 08  Nice                     Charlois, A.
   (320) Katharina                       1891 10 11  Vienna                   Palisa, J.
   (321) Florentina                      1891 10 15  Vienna                   Palisa, J.
   (322) Phaeo                           1891 11 27  Marseilles               Borrelly, A.
   (323) Brucia                          1891 12 22  Heidelberg               Wolf, M. F.
   (324) Bamberga                        1892 02 25  Vienna                   Palisa, J.
   (325) Heidelberga                     1892 03 04  Heidelberg               Wolf, M. F.
   (326) Tamara                          1892 03 19  Vienna                   Palisa, J.
   (327) Columbia                        1892 03 22  Nice                     Charlois, A.
   (328) Gudrun                          1892 03 18  Heidelberg               Wolf, M. F.
   (329) Svea                            1892 03 21  Heidelberg               Wolf, M. F.
   (330) Adalberta           A910 CB     1910 02 02  Heidelberg               Wolf, M. F.
   (331) Etheridgea                      1892 04 01  Nice                     Charlois, A.
   (332) Siri                            1892 03 19  Heidelberg               Wolf, M. F.
   (333) Badenia             1892 A      1892 08 22  Heidelberg               Wolf, M. F.
   (334) Chicago             1892 L      1892 08 23  Heidelberg               Wolf, M. F.
   (335) Roberta             1892 C      1892 09 01  Heidelberg               Staus, A.
   (336) Lacadiera           1892 D      1892 09 19  Nice                     Charlois, A.
   (337) Devosa              1892 E      1892 09 22  Nice                     Charlois, A.
   (338) Budrosa             1892 F      1892 09 25  Nice                     Charlois, A.
   (339) Dorothea            1892 G      1892 09 25  Heidelberg               Wolf, M. F.
   (340) Eduarda             1892 H      1892 09 25  Heidelberg               Wolf, M. F.
   (341) California          1892 J      1892 09 25  Heidelberg               Wolf, M. F.
   (342) Endymion            1892 K      1892 10 17  Heidelberg               Wolf, M. F.
   (343) Ostara              1892 N      1892 11 15  Heidelberg               Wolf, M. F.
   (344) Desiderata          1892 M      1892 11 15  Nice                     Charlois, A.
   (345) Tercidina           1892 O      1892 11 23  Nice                     Charlois, A.
   (346) Hermentaria         1892 P      1892 11 25  Nice                     Charlois, A.
   (347) Pariana             1892 Q      1892 11 28  Nice                     Charlois, A.
   (348) May                 1892 R      1892 11 28  Nice                     Charlois, A.
   (349) Dembowska           1892 T      1892 12 09  Nice                     Charlois, A.
   (350) Ornamenta           1892 U      1892 12 14  Nice                     Charlois, A.
   (351) Yrsa                1892 V      1892 12 16  Heidelberg               Wolf, M. F.
   (352) Gisela              1893 B      1893 01 12  Heidelberg               Wolf, M. F.
